title,description,sector,status,contact,generated_title,kommune
Bergen kommune,Digifrid (RPA) som har automatisert en del prosesser basert på regler bl.a. for eierskiftefaktura og fordeling av meldinger mellom helsetjenestene.,Tverrsektoriell,Ukjent status,Ingen kontaktperson,Digifrid (RPA) som har automatisert en del prosesser basert på regler bl,Bergen
Bergen kommune,"Energisparing bruker maskinlæring for å lære ledningsnett, bruksmønster og kombinere dette med f.eks værdata og strømpriser for å velge riktig tidspunkt for å starte en pumpe, fylle et bassen, produsere strøm etc.","Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,"Energisparing bruker maskinlæring for å lære ledningsnett, bruksmønster og kombinere dette med f",Bergen
Bergen kommune,Etat for Boligforvaltning bruker GitHub Copilot som programmeringsstøtte i utvikling av Portico og ChatGPT som inspirasjon og hjelp til problemløsning av tekniske spørsmål.,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Etat for Boligforvaltning bruker GitHub Copilot som programmeringsstøtte i utvikling av Portico og ChatGPT som inspirasjon og hjelp til problemløsning av tekniske spørsmål,Bergen
Bergen kommune,ChatGPT versjon for lærer og elever,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,ChatGPT versjon for lærer og elever,Bergen
Bærum kommune,Maskinlæring for automatisk kartlegging av kommunal FKB og temadata basert på laser- og hyperspektrale data,"Bygg, plan & teknisk",Eldre prosjekt fra 2018,Ingen kontaktperson,Maskinlæring for automatisk kartlegging av kommunal FKB og temadata basert på laser- og hyperspektrale data,Bærum
Drammen kommune,ChatGPT utfira Randbergmodellen,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,ChatGPT utfira Randbergmodellen,Drammen
Enebakk kommune,ChatGPT i Enebakk-skolene basert på Randabergmodellen,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,ChatGPT i Enebakk-skolene basert på Randabergmodellen,Enebakk
Enebakk kommune,"Initiativer innen kart og eiendom, dokumentbehandling og bruk av generativ KI innen HR",Tverrsektoriell,Ukjent status,Ingen kontaktperson,"Initiativer innen kart og eiendom, dokumentbehandling og bruk av generativ KI innen HR",Enebakk
Flekkefjord kommune,"«Enklere tilgang på informasjon», der de søkte etter en løsning som kan gjøre det enklere for familiene til alvorlig syke barn å finne frem i jungelen av informasjon som ligger spredt på et stort antall nettsider. De har nå satt i gang utviklingen av en minimumsløsning (MVP) som vil kunne presentere all relevant  informasjon familiene trenger på ett sted. Løsningen vil bruke språkmodeller og annen teknologi i kombinasjon for å kunne samle informasjon fra en rekke ulike kilder tilpasset en gitt kontekst.",Helse & omsorg,Ukjent status,Ingen kontaktperson,"«Enklere tilgang på informasjon», der de søkte etter en løsning som kan gjøre det enklere for familiene til alvorlig syke barn å finne frem i jungelen av informasjon som ligger spredt på et stort antall nettsider",Flekkefjord
Gjerdrum kommune,KI i turnusplanlegging,Helse & omsorg,Ukjent status,Ingen kontaktperson,KI i turnusplanlegging,Gjerdrum
Gjerdrum kommune,Robotisert postmottak,Tverrsektoriell,Ukjent status,Ingen kontaktperson,Robotisert postmottak,Gjerdrum
Gjesdal kommune,KI til varsel om glatte veier for å kunne strø/salte ved behov,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,KI til varsel om glatte veier for å kunne strø/salte ved behov,Gjesdal
Gjøvik kommune ,Intelligent ruteplanlegging i hjemmetjenesten,Helse & omsorg,Ukjent status,Ingen kontaktperson,Intelligent ruteplanlegging i hjemmetjenesten,Gjøvik
Gjøvik kommune ,RPA-pilot fakturabehandling,Tverrsektoriell,Ukjent status,Ingen kontaktperson,RPA-pilot fakturabehandling,Gjøvik
Gjøvik kommune ,"""Sikker"" ChatGPT for kommuneansatte og elever i grunnskolen",Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,"""Sikker"" ChatGPT for kommuneansatte og elever i grunnskolen",Gjøvik
Halden kommune,"Airmont, som leverer sensorer som skal installeres i piper i eiendommer i Halden, benytter kunstig intelligens for å finne fyringsmønster og dermed behov for feiing i den enkelte bolig.","Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,"Airmont, som leverer sensorer som skal installeres i piper i eiendommer i Halden, benytter kunstig intelligens for å finne fyringsmønster og dermed behov for feiing i den enkelte bolig",Halden
Halden kommune,Kommunen benytter kamera med kunstig intelligens for å telle hvor mange biler som til en hver tid er parkert på torget i byen og hvor bilene er plassert. Statistikken benyttes som grunnlag i byutvikling,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Kommunen benytter kamera med kunstig intelligens for å telle hvor mange biler som til en hver tid er parkert på torget i byen og hvor bilene er plassert,Halden
Halden kommune,Halden kommune benytter «Symptomsjekker» som er et verktøy for å utelukke eller bekrefte sannsynligheten for en diagnose. Systemet benytter kunstig intelligens og er et bidrag til mer effektive og presise diagnose rapporter. Systemet har blant annet blitt benyttet på flyktninger.,Helse & omsorg,Ukjent status,Ingen kontaktperson,Halden kommune benytter «Symptomsjekker» som er et verktøy for å utelukke eller bekrefte sannsynligheten for en diagnose,Halden
Halden kommune,Kommunen har sammen med blant annet Høgskolen i Østfold og Hypatia Learning AS et prosjekt med navnet «Kunstig intelligens for vurdering for læring for å styrke læring og undervisning i det 21. århundre,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,Kommunen har sammen med blant annet Høgskolen i Østfold og Hypatia Learning AS et prosjekt med navnet «Kunstig intelligens for vurdering for læring for å styrke læring og undervisning i det 21,Halden
Halden kommune,Bildeling mellom ansatte og innbyggere - bruke KI til å optimalisere bilparken og dele biler,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Bildeling mellom ansatte og innbyggere - bruke KI til å optimalisere bilparken og dele biler,Halden
Halden kommune,Analyse av sensordata ved tømming av søppelkontainere,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Analyse av sensordata ved tømming av søppelkontainere,Halden
Halden kommune,Kart tilpasset funksjonshemmede i kommunale bygg med bruk av KI,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Kart tilpasset funksjonshemmede i kommunale bygg med bruk av KI,Halden
Hamar kommune,Bruk av vannmåler for KI analyse av de som får pleiebehandling som har et unormalt vannforbruk for oppfølging av disse,"Bygg, plan & teknisk",Usikker på status,Ingen kontaktperson,Bruk av vannmåler for KI analyse av de som får pleiebehandling som har et unormalt vannforbruk for oppfølging av disse,Hamar
Harstad kommune,ChatGPT i skolen basert på Randaberg-løsningen,Oppvekst & utdanning,"""Planlegger oppstart""",Viggo Fedreheim - Digi Troms og Finnmark,ChatGPT i skolen basert på Randaberg-løsningen,Harstad
Kristiansand kommune,KartAI - effektvisering av byggesaker med KI,"Bygg, plan & teknisk",Pilot,Eva Høksaas - Leder geografisk informasjon i kommunen - medlem av fag- og prioriteringsutvalget,KartAI - effektvisering av byggesaker med KI,Kristiansand
Kvam kommune,En gjennomgang av bruk av ChatGPT i skolen,Oppvekst & utdanning,Oppleves som lav modenhet,Ingen kontaktperson,En gjennomgang av bruk av ChatGPT i skolen,Kvam
Lillestrøm kommune,Bruk av kunstig intelligens for bedre kontroll av informasjon i inn- og utgående dokumenter,Tverrsektoriell,Pilot,Ingen kontaktperson,Bruk av kunstig intelligens for bedre kontroll av informasjon i inn- og utgående dokumenter,Lillestrøm
Lillestrøm kommune,ChatGPT utfira Randbergmodellen,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,ChatGPT utfira Randbergmodellen,Lillestrøm
Lørenskog kommune,KI-løsning innen fakturering,Tverrsektoriell,Ukjent status,Ingen kontaktperson,KI-løsning innen fakturering,Lørenskog
Lørenskog kommune,KI-løsning med søknad til barnehage,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,KI-løsning med søknad til barnehage,Lørenskog
Midt-Telemark kommune,Ruteplanlegging i hjemmestjenesten,Helse & omsorg,Ukjent status,Ingen kontaktperson,Ruteplanlegging i hjemmestjenesten,Midt-Telemark
Molde kommune,Barnehageopptak,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,Barnehageopptak,Molde
Møre og Romsdal fylkeskommune,"Samferdsel har gående et prosjekt med bildeanalyse av vei/rekkverk, slik at KI vurderer hvor det bør gjøres utbedringer","Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,"Samferdsel har gående et prosjekt med bildeanalyse av vei/rekkverk, slik at KI vurderer hvor det bør gjøres utbedringer",Møre og Romsdal
Møre og Romsdal fylkeskommune,NDLA sin ChatGPT-løsning,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,NDLA sin ChatGPT-løsning,Møre og Romsdal
Møre og Romsdal fylkeskommune,Utrulling av praterobot i alle videregående skoler,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,Utrulling av praterobot i alle videregående skoler,Møre og Romsdal
Nesodden kommune,Løsning som tilrettelegger for bruk av KI i undervisning og gjennomføring av eksamen,Oppvekst & utdanning,Ukjent status,Gjertrud Aas Rye - DigiViken,Løsning som tilrettelegger for bruk av KI i undervisning og gjennomføring av eksamen,Nesodden
Nesodden kommune,Utforske gevinster ved å kombinere RPA- teknologi med generativ KI (eks: saksbehandling fra A til Å for bevilling og byggesaksprosesser),"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Utforske gevinster ved å kombinere RPA- teknologi med generativ KI (eks: saksbehandling fra A til Å for bevilling og byggesaksprosesser),Nesodden
Nesodden kommune,KI skal være en viktig del av kravspesifikasjonen ved anskaffelser av nye system,Tverrsektoriell,Ukjent status,Ingen kontaktperson,KI skal være en viktig del av kravspesifikasjonen ved anskaffelser av nye system,Nesodden
Nordre Follo kommune,Fakturakontroll ved hjelp av KI,Tverrsektoriell,Innsiktsfase,"Marius Oma Hellevik - Prosjektleder for automatisering av arbeidsprosesser og rådgiver for Digitalisering
",Fakturakontroll ved hjelp av KI,Nordre Follo
Nordre Follo kommune,Analyse av plantegninger ved hjelp av KI,"Bygg, plan & teknisk",Anskaffelsesfase,Ingen kontaktperson,Analyse av plantegninger ved hjelp av KI,Nordre Follo
Nordre Follo kommune,Chatbotløsning for ansatte,Tverrsektoriell,Planleggingsfase,Ingen kontaktperson,Chatbotløsning for ansatte,Nordre Follo
Nordre Follo kommune,Workshoper for ansatte på kompetanseutvikling av hvordan man kan bruke LLM som en assistent for å finne svar på jobbrelaterte ting i hverdagen,Tverrsektoriell,Pågående prosjekt,Ingen kontaktperson,Workshoper for ansatte på kompetanseutvikling av hvordan man kan bruke LLM som en assistent for å finne svar på jobbrelaterte ting i hverdagen,Nordre Follo
Oslo kommune,Læringsanalyse ,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,Læringsanalyse ,Oslo
Oslo kommune,Behandling av søknader for skjenkebeviligning,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Behandling av søknader for skjenkebeviligning,Oslo
Oslo kommune,Behandling av klager på parkeringsbot,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Behandling av klager på parkeringsbot,Oslo
Oslo kommune,KI til å predikere om søppelbilen rekker ruten,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,KI til å predikere om søppelbilen rekker ruten,Oslo
Oslo kommune,Osloskolen-GPT,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,Osloskolen-GPT,Oslo
Randaberg kommune,ChatGPT i Randabergskolen,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,ChatGPT i Randabergskolen,Randaberg
Rogaland fylkeskommune,Automatisk videresending og arkivering av e-poster,Tverrsektoriell,Ukjent status,Knut Albert Gjedrem Auestad - Fagleder i Rogaland fylkeskommune,Automatisk videresending og arkivering av e-poster,Rogaland
Rælingen kommune,Vi skal i gang med en anskaffelse av KI leverandør/partner hvor vi skal kartlegge og planlegge for KI i kommunen.,Tverrsektoriell,Ukjent status,Ingen kontaktperson,Vi skal i gang med en anskaffelse av KI leverandør/partner hvor vi skal kartlegge og planlegge for KI i kommunen,Rælingen
Sandnes kommune,Uttesting av KI i forbindelse med Drømmeplan-prosjekt medfinasiering dibk/KS,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Uttesting av KI i forbindelse med Drømmeplan-prosjekt medfinasiering dibk/KS,Sandnes
Suldal kommune,KI ved varsel om flom,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,KI ved varsel om flom,Suldal
Sunndal kommune,Rektor som bruker KI til saksbehandling - Løykja skole,Helse & omsorg,Ukjent status,Ingen kontaktperson,Rektor som bruker KI til saksbehandling - Løykja skole,Sunndal
Trondheim kommune ,Bemanningsplanlegging og predikering av sykefravær for turnusplanlegging,Helse & omsorg,Ukjent status,Ingen kontaktperson,Bemanningsplanlegging og predikering av sykefravær for turnusplanlegging,Trondheim
Trondheim kommune ,Maskinlæring for verdivurdering av eiendomsmassen ,Tverrsektoriell,Ukjent status,Ingen kontaktperson,Maskinlæring for verdivurdering av eiendomsmassen ,Trondheim
Trondheim kommune ,Risikomodell for sykehjemsopptak - bruk av KI som metode for predikasjon,Helse & omsorg,Pågående prosjekt,Ingen kontaktperson,Risikomodell for sykehjemsopptak - bruk av KI som metode for predikasjon,Trondheim
Trondheim kommune ,Avvik i energiforbruk,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Avvik i energiforbruk,Trondheim
Trondheim kommune ,Kvalitetsvurdering av asfalt,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Kvalitetsvurdering av asfalt,Trondheim
Trondheim kommune ,Forutsigelse av luftkvalitet,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Forutsigelse av luftkvalitet,Trondheim
Trondheim kommune ,Algoritme for beregning av hvilke bedrifter som sannsynligvis ville gå konkurs,Tverrsektoriell,Ukjent status,Ingen kontaktperson,Algoritme for beregning av hvilke bedrifter som sannsynligvis ville gå konkurs,Trondheim
Trondheim kommune ,TrondheimGPT,Tverrsektoriell,Ukjent status,Ingen kontaktperson,TrondheimGPT,Trondheim
Trondheim kommune ,"KI i saksbehandling i NAV: kunstig intelligens, når en ny sak skulle behandles, informerte 
saksbehandlerne om hvordan lignende saker hadde blitt behandlet 
tidligere",Helse & omsorg,Ukjent status,Ingen kontaktperson,"KI i saksbehandling i NAV: kunstig intelligens, når en ny sak skulle behandles, informerte 
saksbehandlerne om hvordan lignende saker hadde blitt behandlet 
tidligere",Trondheim
Uavklart,Uttesting av KI i forbindelse med Geolett-prosjekt medfinasiering dibk/KS/Kartverket,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Uttesting av KI i forbindelse med Geolett-prosjekt medfinasiering dibk/KS/Kartverket,Uavklart
Uavklart,Stimulab: Ingen sak med byggesak,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Stimulab: Ingen sak med byggesak,Uavklart
Ullensaker kommune,Ki for turnusplanlegging,Tverrsektoriell,"""I ferd med å se på""",Ingen kontaktperson,Ki for turnusplanlegging,Ullensaker
Ullensaker kommune,CoPliot,Tverrsektoriell,"""I ferd med å se på""",Ingen kontaktperson,CoPliot,Ullensaker
Vestfold fylkeskommune,satsing på KI er innenfor analyse av skoledata,Oppvekst & utdanning,Ikke begynt,Ingen kontaktperson,satsing på KI er innenfor analyse av skoledata,Vestfold
Vestfold fylkeskommune,"Potensial innen flere fagfelt; kulturminne, plan og samferdsel med datainnsamling med ulike sensorer og forvaltning og analyse av data","Bygg, plan & teknisk",Ikke begynt,Ingen kontaktperson,"Potensial innen flere fagfelt; kulturminne, plan og samferdsel med datainnsamling med ulike sensorer og forvaltning og analyse av data",Vestfold
Vestfold og Telemark fylleskommune,ChatGPT som ivaretar personvern,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,ChatGPT som ivaretar personvern,Vestfold og Telemark fylleskommune
Vestfold og Telemark fylleskommune,Samtaleroboten chatVTFK,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,Samtaleroboten chatVTFK,Vestfold og Telemark fylleskommune
Vestre viken helseforetak,"Vi ser for eksempel på mulighet for akutt røntgen tolkning til kommunene av bruddskader. Vi har røntgen-app på alle våre legekontor. Dette er ikke satt i prosjekt mot kommunene enda, men Vestre Viken har allerede tatt i bruk KI i radiologisk avdeling.",Helse & omsorg,Ukjent status,Christoffer Boge - kommuneoverlege og samhandlingsleder helse - kommunene i Hallingdal - Fagråd DigiViken,Vi ser for eksempel på mulighet for akutt røntgen tolkning til kommunene av bruddskader,Vestre viken helseforetak
Indigo IKT ,Pågående testing av Brukerstøtte-AI (basert på OpenAI/ChatGPT),Tverrsektoriell,Ukjent status,Ingen kontaktperson,Pågående testing av Brukerstøtte-AI (basert på OpenAI/ChatGPT),Indigo IKT
Indigo IKT ,AI til programmering (for det meste ChatGPT 4),Tverrsektoriell,Ukjent status,Ingen kontaktperson,AI til programmering (for det meste ChatGPT 4),Indigo IKT
Indigo IKT ,AI til å genere bilder til visning på vår nettside (indigo-ikt.no). Primært Midjourney og Firefly. Noen av våre eierkommuner har også begynt med dette.,Tverrsektoriell,Ukjent status,Ingen kontaktperson,AI til å genere bilder til visning på vår nettside (indigo-ikt,Indigo IKT
Indigo IKT ,Løsning tilsvarende Randabergskolen,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,Løsning tilsvarende Randabergskolen,Indigo IKT
Bergen kommune,"UiB forskningsprosjekt - Studie av tillit til KI i utdannings sektør - inkl. Juridisk perspektiv

EduTrust AI: Layers of Trust",Oppvekst & utdanning,Oppstart 1. nov,Ingen kontaktperson,UiB forskningsprosjekt - Studie av tillit til KI i utdannings sektør - inkl,Bergen
Agder fylkeskommune,"KI-portal for de videregående skolene i Agder. Bygger på teknisk oppskrift som Randabergskolene, men med prateroboter tilpasset vgs.",Oppvekst & utdanning,Status: Planlagt/pågående. ,Ingen kontaktperson,KI-portal for de videregående skolene i Agder,Agder
Agder fylkeskommune,Tilgjengeliggjøre NDLA sin praterobot for elevene,Oppvekst & utdanning,Planlagt,Ingen kontaktperson,Tilgjengeliggjøre NDLA sin praterobot for elevene,Agder
Kristiansand kommune,KI-søk på kunnskapsbaser mellom personal/lønn,Tverrsektoriell,Planlagt,Ingen kontaktperson,KI-søk på kunnskapsbaser mellom personal/lønn,Kristiansand
Kristiansand kommune,Robot skal anskaffes på dokumentsenteret.,Tverrsektoriell,Planlagt,Ingen kontaktperson,Robot skal anskaffes på dokumentsenteret,Kristiansand
Kristiansand kommune,Prosjekt for uttesting av KI på helsedata. ,Helse & omsorg,Avsluttet - konkludert ikke egnet,Ingen kontaktperson,Prosjekt for uttesting av KI på helsedata,Kristiansand
Det digitale Vestre Agder, Bruk av KI ved servicehenvendelser,Tverrsektoriell,Pågår,Ingen kontaktperson, Bruk av KI ved servicehenvendelser,Det digitale Vestre Agder
Det digitale Vestre Agder,Utnytte KI til dokumentfangst for arkivering. ,Tverrsektoriell,Planlagt,Ingen kontaktperson,Utnytte KI til dokumentfangst for arkivering,Det digitale Vestre Agder
DigiAgder,Uttesting av CoPilot på interne dokumenter.,Tverrsektoriell,Planlgt,Ingen kontaktperson,Uttesting av CoPilot på interne dokumenter,DigiAgder
Bamble kommune,"Velferdsteknologi der KI i større og mindre grad er implementert for å benytte algoritmer og vurdere varslingsmønstre, aktivitetsnivå m.m.",Helse & omsorg,Pågår,Ingen kontaktperson,"Velferdsteknologi der KI i større og mindre grad er implementert for å benytte algoritmer og vurdere varslingsmønstre, aktivitetsnivå m",Bamble
Drammen kommune,Bruk av kunstig intelligens for bedre kontroll av informasjon i inn- og utgående dokumenter,Tverrsektoriell,Ukjent status,Ingen kontaktperson,Bruk av kunstig intelligens for bedre kontroll av informasjon i inn- og utgående dokumenter,Drammen
Sarpsborg kommune,"Velferdsteknologi der KI i større og mindre grad er implementert for å benytte algoritmer og vurdere varslingsmønstre, aktivitetsnivå m.m.",Helse & omsorg,Pågår,Ingen kontaktperson,"Velferdsteknologi der KI i større og mindre grad er implementert for å benytte algoritmer og vurdere varslingsmønstre, aktivitetsnivå m",Sarpsborg
